source_file,polyline_index,point_index,lon,lat,x,y,nearest_x,nearest_y,signed_distance_m,abs_distance_m,kept
2024-09-20T21:48:34Z.json,0,2,105.86771,20.9964,590184.8123663319,2321993.9180096556,590182.1677498418,2321993.899116276,2.6446839772603603,2.6446839772603603,True
2024-09-20T21:48:34Z.json,0,3,105.86761,20.99637,590174.4363614009,2321990.5411409447,590182.1913437226,2321990.5965432404,-7.75518021873846,7.75518021873846,True
2024-09-20T21:48:34Z.json,0,4,105.86764,20.99601,590177.7707831969,2321950.71247354,590182.4760389806,2321950.7460883134,-4.705375855704922,4.705375855704922,True
2024-09-20T21:48:34Z.json,0,5,105.86757,20.99584,590170.5970405478,2321931.8570234333,590182.6103710337,2321931.942847754,-12.013637050350901,12.013637050350901,True
2024-09-20T21:48:34Z.json,0,6,105.86757,20.99568,590170.6931262388,2321914.147874502,590182.7368852439,2321914.2339162068,-12.044066346087167,12.044066346087167,True
2024-09-20T21:48:34Z.json,0,7,105.86754,20.99564,590167.5989251273,2321909.7036689627,590182.7684755165,2321909.812041604,-15.16993749620863,15.16993749620863,True
2024-09-20T21:48:34Z.json,0,8,105.86756,20.99552,590169.7498029205,2321896.433086406,590182.8642143043,2321896.529601109,-13.114766525950639,13.114766525950639,True
2024-09-20T21:48:34Z.json,0,9,105.86756,20.99551,590169.7558081399,2321895.326264631,590182.872359775,2321895.4227950852,-13.116906835246436,13.116906835246436,True
2024-09-20T21:48:34Z.json,1,0,105.86784,20.99621,590198.438735799,2321972.9617265137,590182.3181512129,2321972.8465595976,16.120995962359135,16.120995962359135,True
2024-09-20T21:48:34Z.json,1,1,105.86781,20.99611,590195.3805963192,2321961.8765833993,590182.3971843638,2321961.783828729,12.983743275068269,12.983743275068269,True
2024-09-20T21:48:34Z.json,1,2,105.86782,20.99588,590196.558165068,2321936.4253211142,590182.579061304,2321936.3254531315,13.979460492456761,13.979460492456761,True
2024-09-20T21:48:34Z.json,1,3,105.86778,20.99578,590192.4606099023,2321925.3345380896,590182.6580816979,2321925.2645079405,9.802778352067609,9.802778352067609,True
2024-09-20T21:48:34Z.json,1,4,105.86778,20.9957,590192.5086643368,2321916.4799632765,590182.7213388062,2321916.410041737,9.787575290263554,9.787575290263554,True
2024-09-20T21:48:34Z.json,1,5,105.86771,20.99562,590185.2808650286,2321907.585903757,590182.784506656,2321907.5680695465,2.4964220764142886,2.4964220764142886,True
2024-09-20T21:48:34Z.json,1,6,105.86769,20.99558,590183.2260743112,2321903.147335718,590182.8161097026,2321903.1444068938,0.4099750703692021,0.4099750703692021,True
2024-09-20T21:48:34Z.json,1,7,105.8677,20.99542,590184.3615811864,2321885.44382721,590182.9458760512,2321885.4334084154,1.4157434729273681,1.4157434729273681,True
2024-09-20T21:48:34Z.json,1,8,105.86768,20.99534,590182.3308112387,2321876.577972373,590183.011010247,2321876.5829782556,-0.6802174283110354,0.6802174283110354,True
2024-09-20T21:48:34Z.json,1,9,105.86771,20.99518,590185.5451389948,2321858.8857448613,590183.2079640621,2321858.8519331487,2.3374194955072185,2.3374194955072185,True
2024-09-20T21:48:34Z.json,1,10,105.86776,20.99501,590190.844302797,2321840.097977464,590183.480817074,2321839.991450537,7.364256240757909,7.364256240757909,True
2024-09-20T21:48:34Z.json,1,11,105.86781,20.99491,590196.1014302053,2321829.0579639263,590183.6415986418,2321828.8777085934,12.461135364661846,12.461135364661846,True
2024-09-20T21:48:34Z.json,1,12,105.86784,20.99489,590199.2316819397,2321826.861243557,590183.6740267588,2321826.6361722713,15.559283139404206,15.559283139404206,True
2024-10-01T21:34:59Z.json,0,0,105.86767,20.99468,590181.6877872839,2321803.522097707,590183.7879155816,2321818.7638085093,-15.385716982157359,15.385716982157359,False
2024-10-01T21:34:59Z.json,0,1,105.86767,20.9947,590181.6757757737,2321805.735741095,590183.7879155816,2321818.7638085093,-13.198169385055154,13.198169385055154,True
2024-10-01T21:34:59Z.json,0,2,105.86767,20.99495,590181.5256309715,2321833.4062838787,590183.575655072,2321833.4359414047,-2.0502386157039703,2.0502386157039703,True
2024-10-01T21:34:59Z.json,0,3,105.86765,20.99506,590179.3807436905,2321845.570042938,590183.3992710038,2321845.6281786337,-4.018947813355275,4.018947813355275,True
2024-10-01T21:34:59Z.json,0,4,105.86767,20.9953,590181.3154253734,2321872.1450451086,590183.0435773438,2321872.157763337,-1.728198769301912,1.728198769301912,True
2024-10-01T21:34:59Z.json,0,5,105.86764,20.99541,590178.1311327986,2321884.3031645147,590182.9539328023,2321884.3386576143,-4.822930606562513,4.822930606562513,True
2024-10-01T21:34:59Z.json,0,6,105.86765,20.99569,590179.0023780256,2321915.2998148743,590182.7290801639,2321915.326438772,-3.7267972388712014,3.7267972388712014,True
2024-10-01T21:34:59Z.json,0,7,105.86767,20.99579,590181.0211319005,2321926.379313442,590182.6500342905,2321926.390950468,-1.6289439574697728,1.6289439574697728,True
2024-10-01T21:34:59Z.json,0,8,105.86764,20.996,590177.7767891044,2321949.6056516855,590182.4839461192,2321949.639280041,-4.707277135228367,4.707277135228367,True
2024-10-01T21:34:59Z.json,0,9,105.86768,20.99629,590181.7602286589,2321981.726047095,590182.254690114,2321981.729579572,-0.4944740730398311,0.4944740730398311,True
2024-10-01T21:34:59Z.json,0,10,105.86765,20.99662,590178.4438183712,2322018.2342493194,590182.032209307,2322018.2102426174,-3.5884712385405804,3.5884712385405804,True
2024-10-01T21:34:59Z.json,0,11,105.86768,20.99668,590181.5259823394,2322024.8921021395,590182.0637646898,2322023.4782467047,-1.5126787653462317,1.5126787653462317,True
